Unnamed: 0,Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
0,8,5,2,10,6,10,1,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
1,6,1,11,3,4,4,1,0,0,1,0,19,6,6,6,14,0,0,6,6,6,13,0,1.0,1.0,1
2,1,5,5,27,10,10,1,0,0,1,0,19,6,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0
3,8,2,15,27,6,4,1,0,1,0,0,20,6,8,6,13,0,0,6,10,5,12,-3,1.0,0.8333333333333334,1
4,12,1,3,28,10,10,0,0,1,0,0,45,6,9,5,12,0,0,6,6,6,13,0,0.8333333333333334,1.0,1
5,12,1,17,27,10,8,0,1,1,1,0,50,5,10,5,11,0,0,5,17,5,11,0,1.0,1.0,1
6,1,1,12,28,8,11,1,0,1,0,1,18,7,9,7,13,0,0,8,8,8,14,-4,1.0,1.0,1
7,9,4,11,27,10,10,1,0,0,1,0,22,5,5,0,0,0,0,5,5,0,0,-4,0.0,0.0,0
8,1,3,10,1,10,10,0,0,1,0,1,21,6,8,6,13,0,0,6,7,6,14,0,1.0,1.0,1
9,1,1,10,14,5,8,1,1,0,0,0,18,6,9,5,11,0,0,6,14,2,13,3,0.8333333333333334,0.3333333333333333,0
10,1,1,14,14,6,8,1,0,1,0,0,18,6,6,6,12,0,0,6,7,5,14,0,1.0,0.8333333333333334,1
11,1,1,12,28,10,10,1,0,1,0,1,18,8,8,7,13,0,0,8,8,7,13,-1,0.875,0.875,1
12,1,2,16,27,5,10,1,0,1,0,0,19,6,6,0,0,0,0,6,0,0,0,-1,0.0,0.0,0
13,17,1,11,1,5,8,1,0,1,0,1,21,6,7,6,10,0,0,6,8,5,11,3,1.0,0.8333333333333334,1
14,1,1,6,27,6,6,1,0,1,0,1,18,5,7,4,13,0,0,5,5,5,12,1,0.8,1.0,1
15,1,1,15,27,10,4,1,0,1,0,0,20,6,6,5,13,0,0,6,7,0,0,-4,0.8333333333333334,0.0,0
16,9,1,10,28,6,9,1,0,1,0,0,18,6,10,1,12,0,0,6,14,2,11,1,0.16666666666666666,0.3333333333333333,0
17,8,2,12,1,6,5,1,0,1,0,0,18,7,8,7,13,0,0,8,8,8,14,-4,1.0,1.0,1
18,1,1,8,14,4,6,1,0,1,0,0,20,5,8,4,12,1,0,5,8,4,12,1,0.8,0.8,1
19,1,1,16,14,8,8,1,0,1,0,0,18,7,7,6,11,0,0,7,8,6,13,0,0.8571428571428571,0.8571428571428571,0
20,1,3,2,1,10,9,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1
21,9,4,13,28,5,8,1,0,1,0,0,20,7,14,7,11,0,0,8,9,8,11,-1,1.0,1.0,0
22,1,4,12,14,2,2,1,0,1,0,0,18,8,12,7,12,0,0,8,12,7,12,-1,0.875,0.875,1
23,1,4,14,28,5,8,1,0,1,0,1,19,6,8,6,13,0,0,6,7,6,12,2,1.0,1.0,1
24,1,1,12,14,4,8,0,0,1,0,0,19,7,8,6,13,0,0,8,9,7,14,2,0.8571428571428571,0.875,1
25,1,1,10,28,10,10,1,1,1,0,1,18,6,8,5,11,0,0,6,12,4,11,0,0.8333333333333334,0.6666666666666666,0
26,8,2,10,28,8,9,1,0,1,0,0,21,6,9,6,11,0,0,6,9,6,13,0,1.0,1.0,1
27,1,1,6,14,4,4,1,0,1,0,0,18,5,9,5,12,2,0,5,7,4,13,-3,1.0,0.8,0
28,1,1,9,1,10,10,1,0,1,0,0,20,5,6,5,12,0,0,5,6,5,12,0,1.0,1.0,1
