,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
0,1,8,5,2,1,1,1,13,10,6,10,1,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0.0,0.0,0
1,1,6,1,11,1,1,1,1,3,4,4,1,0,0,1,0,19,0,0,6,6,6,14,0,0,6,6,6,13,0,13,0,1.0,1.0,1
2,1,1,5,5,1,1,1,22,27,10,10,1,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10,1,0.0,0.0,0
3,1,8,2,15,1,1,1,23,27,6,4,1,0,1,0,0,20,0,0,6,8,6,13,0,0,6,10,5,12,0,9,0,1.0,0.8333333333333334,1
4,2,12,1,3,0,1,1,22,28,10,10,0,0,1,0,0,45,0,0,6,9,5,12,0,0,6,6,6,13,0,13,0,0.8333333333333334,1.0,1
5,2,12,1,17,0,12,1,22,27,10,8,0,1,1,1,0,50,0,0,5,10,5,11,0,0,5,17,5,11,5,16,0,1.0,1.0,1
6,1,1,1,12,1,1,1,13,28,8,11,1,0,1,0,1,18,0,0,7,9,7,13,0,0,8,8,8,14,0,15,2,1.0,1.0,1
7,1,9,4,11,1,1,1,22,27,10,10,1,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15,2,0.0,0.0,0
8,1,1,3,10,1,1,15,1,1,10,10,0,0,1,0,1,21,1,0,6,8,6,13,0,0,6,7,6,14,0,16,0,1.0,1.0,1
9,1,1,1,10,1,1,1,1,14,5,8,1,1,0,0,0,18,0,0,6,9,5,11,0,0,6,14,2,13,0,8,1,0.8333333333333334,0.3333333333333333,0
10,1,1,1,14,1,1,1,23,14,6,8,1,0,1,0,0,18,0,0,6,6,6,12,0,0,6,7,5,14,0,13,0,1.0,0.8333333333333334,1
11,1,1,1,12,1,1,1,13,28,10,10,1,0,1,0,1,18,0,0,8,8,7,13,0,0,8,8,7,13,0,12,3,0.875,0.875,1
12,1,1,2,16,1,1,1,13,27,5,10,1,0,1,0,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12,3,0.0,0.0,0
13,1,17,1,11,1,16,1,1,1,5,8,1,0,1,0,1,21,0,0,6,7,6,10,0,0,6,8,5,11,0,8,1,1.0,0.8333333333333334,1
14,1,1,1,6,1,1,1,23,27,6,6,1,0,1,0,1,18,0,0,5,7,4,13,0,0,5,5,5,12,0,10,1,0.8,1.0,1
15,1,1,1,15,1,1,1,13,27,10,4,1,0,1,0,0,20,0,0,6,6,5,13,0,0,6,7,0,0,0,15,2,0.8333333333333334,0.0,0
16,1,9,1,10,1,1,1,13,28,6,9,1,0,1,0,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10,1,0.16666666666666666,0.3333333333333333,0
17,1,8,2,12,1,1,1,13,1,6,5,1,0,1,0,0,18,0,0,7,8,7,13,0,0,8,8,8,14,0,15,2,1.0,1.0,1
18,1,1,1,8,1,1,1,3,14,4,6,1,0,1,0,0,20,0,0,5,8,4,12,1,0,5,8,4,12,2,10,1,0.8,0.8,1
19,1,1,1,16,1,1,1,13,14,8,8,1,0,1,0,0,18,0,0,7,7,6,11,0,0,7,8,6,13,0,16,0,0.8571428571428571,0.8571428571428571,0
20,1,1,3,2,1,1,1,1,1,10,9,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0,0.0,1
21,1,9,4,13,1,1,1,1,28,5,8,1,0,1,0,0,20,0,0,7,14,7,11,0,0,8,9,8,11,0,12,3,1.0,1.0,0
22,1,1,4,12,1,1,1,13,14,2,2,1,0,1,0,0,18,0,0,8,12,7,12,0,0,8,12,7,12,0,12,3,0.875,0.875,1
23,1,1,4,14,1,1,1,1,28,5,8,1,0,1,0,1,19,0,0,6,8,6,13,0,0,6,7,6,12,0,11,0,1.0,1.0,1
24,1,1,1,12,1,1,1,13,14,4,8,0,0,1,0,0,19,0,0,7,8,6,13,0,0,8,9,7,14,0,11,0,0.8571428571428571,0.875,1
25,1,1,1,10,1,1,1,13,28,10,10,1,1,1,0,1,18,0,0,6,8,5,11,0,0,6,12,4,11,0,7,2,0.8333333333333334,0.6666666666666666,0
26,1,8,2,10,1,1,1,13,28,8,9,1,0,1,0,0,21,0,0,6,9,6,11,0,0,6,9,6,13,0,16,0,1.0,1.0,1
27,1,1,1,6,1,1,1,13,14,4,4,1,0,1,0,0,18,0,0,5,9,5,12,2,0,5,7,4,13,0,9,0,1.0,0.8,0
28,1,1,1,9,1,1,1,13,1,10,10,1,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12,0,16,0,1.0,1.0,1
29,1,8,2,12,1,1,1,3,3,2,11,1,0,1,1,0,19,0,0,7,9,6,12,0,0,7,7,6,13,0,16,0,0.8571428571428571,0.8571428571428571,0
30,1,15,1,4,1,14,1,4,5,5,3,0,0,1,1,0,21,0,0,6,15,5,11,0,0,6,17,5,10,0,16,0,0.8333333333333334,0.8333333333333334,0
31,1,16,1,5,1,1,1,27,3,16,22,1,0,1,1,0,20,0,2,6,7,6,12,0,0,6,9,4,13,0,8,1,1.0,0.6666666666666666,1
32,1,1,1,9,1,1,1,1,1,5,7,0,0,0,1,0,18,0,0,5,9,3,11,0,0,5,8,2,13,0,8,1,0.6,0.4,0
33,1,9,1,3,0,1,1,13,1,10,6,1,0,1,0,0,19,0,0,6,6,6,12,0,0,6,8,6,14,0,12,0,1.0,1.0,1
34,1,1,1,17,0,1,1,2,27,4,10,0,0,1,1,0,34,0,0,5,6,5,12,0,0,5,9,5,13,0,13,0,1.0,1.0,1
35,1,12,1,1,1,1,1,23,27,10,7,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8,1,0.0,0.14285714285714285,0
36,1,12,1,7,1,8,1,19,27,1,1,1,0,1,1,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7,2,0.0,0.0,0
37,1,14,1,9,1,1,1,22,27,7,7,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16,0,0.2,0.4,0
38,4,12,1,17,0,1,1,13,14,10,4,1,0,1,0,0,39,0,0,5,8,5,11,0,0,5,5,5,11,0,7,2,1.0,1.0,1
39,1,15,1,8,1,14,3,4,4,4,7,0,1,0,0,0,20,1,2,6,13,3,11,0,1,6,11,3,12,0,12,0,0.5,0.5,0
