,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Target_Graduate
0,0,0,0
1,6,6,1
2,0,0,0
3,6,5,1
4,5,6,1
5,5,5,1
6,7,8,1
7,0,0,0
8,6,6,1
9,5,2,0
10,6,5,1
11,7,7,1
12,0,0,0
13,6,5,1
14,4,5,1
15,5,0,0
16,1,2,0
17,7,8,1
18,4,4,1
19,6,6,0
20,0,0,1
21,7,8,0
22,7,7,1
23,6,6,1
24,6,7,1
25,5,4,0
26,6,6,1
27,5,4,0
28,5,5,1
29,6,6,0
30,5,5,0
31,6,4,1
32,3,2,0
33,6,6,1
34,5,5,1
35,0,1,0
36,0,0,0
37,1,2,0
38,5,5,1
39,3,3,0
40,4,0,0
41,5,5,1
42,5,7,1
43,4,5,0
44,0,0,0
45,2,3,0
46,6,5,1
47,6,7,1
48,6,6,1
49,5,6,1
50,6,6,1
51,6,6,0
52,4,3,0
53,5,5,1
54,5,5,0
55,7,8,1
56,0,0,0
57,5,10,0
58,8,8,1
59,0,0,0
60,6,7,1
61,6,6,1
62,0,0,0
63,5,1,0
64,0,0,0
65,5,5,0
66,0,0,1
67,6,6,1
68,5,4,0
69,6,5,0
70,0,0,0
71,7,8,1
72,0,0,0
73,3,1,0
74,6,3,1
75,3,3,0
76,4,1,0
77,6,6,1
78,7,8,1
79,6,6,1
80,5,5,0
81,0,0,0
82,6,10,0
83,5,3,0
84,6,5,1
85,7,7,1
86,4,5,1
87,6,5,1
88,4,5,0
89,2,0,0
90,0,0,0
91,6,6,1
92,2,0,0
93,3,0,0
94,8,6,1
95,5,3,0
96,6,6,1
97,7,8,1
98,5,5,0
99,4,0,0
100,8,5,0
101,0,0,1
102,0,0,0
103,18,13,1
104,0,0,0
105,10,11,1
106,0,0,0
107,4,4,0
108,6,5,0
109,6,3,0
110,6,6,1
111,3,3,0
112,5,5,1
113,6,6,1
114,6,6,0
115,6,7,0
116,2,4,0
117,3,3,0
118,5,5,1
119,5,5,1
120,3,2,0
121,5,4,1
122,0,0,0
123,5,5,1
124,6,6,1
125,5,0,0
126,6,5,1
127,5,5,0
128,6,6,1
129,7,8,1
130,7,7,0
131,6,6,1
132,5,5,1
133,5,0,0
134,9,7,1
135,5,4,0
136,4,4,1
137,6,6,1
138,5,7,0
139,7,8,1
140,6,6,1
141,6,5,1
142,0,0,0
143,6,6,1
144,7,8,1
145,5,5,1
146,0,0,0
147,5,3,0
148,5,5,1
149,6,7,1
150,0,0,0
151,5,5,1
152,3,5,0
153,6,5,1
154,3,3,0
155,6,4,0
156,5,5,1
157,6,6,1
158,4,6,1
159,5,5,1
160,6,6,0
161,7,7,1
162,7,8,1
163,4,3,0
164,5,5,1
165,6,6,1
166,0,0,0
167,5,4,1
168,7,7,1
169,3,2,0
170,4,4,0
171,7,8,1
172,6,6,1
173,3,5,1
174,4,6,0
175,3,4,0
176,5,5,1
177,4,4,0
178,5,5,0
179,6,6,0
180,21,19,1
181,6,6,0
182,5,0,0
183,6,0,0
184,0,0,0
185,3,3,0
186,8,4,0
187,6,6,1
188,2,0,0
189,6,6,1
190,6,6,1
191,2,1,0
192,0,0,0
193,0,0,0
194,7,7,1
195,0,0,0
196,8,8,1
197,0,0,0
198,7,7,1
199,3,3,0
200,4,4,1
201,6,6,1
202,7,7,1
203,6,6,1
204,5,4,1
205,4,4,1
206,7,7,1
207,6,6,1
208,6,5,1
209,6,5,0
210,7,7,1
211,6,6,1
212,6,6,1
213,0,0,0
214,6,6,1
215,6,8,0
216,5,5,1
217,1,0,0
218,1,0,0
219,0,2,0
220,4,3,1
221,6,6,1
222,4,2,0
223,5,7,1
224,6,7,1
225,6,5,1
226,5,5,1
227,6,6,1
228,0,0,0
229,7,7,1
230,6,3,1
231,0,0,0
232,5,5,1
233,5,5,1
234,3,1,0
235,5,6,1
236,5,6,1
237,6,6,1
238,4,4,0
239,3,3,0
240,6,7,0
241,11,9,0
242,5,5,1
243,0,0,0
244,9,10,1
245,8,8,1
246,7,7,1
247,3,3,0
248,6,4,1
249,6,5,1
250,5,5,0
251,6,6,0
252,5,5,1
253,1,0,0
254,5,5,1
255,1,0,0
256,5,5,1
257,6,6,0
258,5,5,1
259,6,2,0
260,6,5,1
261,0,0,0
262,8,6,0
263,6,6,1
264,6,6,1
265,4,3,1
266,7,7,1
267,5,5,1
268,6,6,1
269,7,7,1
270,6,5,1
271,2,1,0
272,5,5,1
273,7,8,1
274,6,6,1
275,7,8,1
276,5,3,0
277,7,5,0
278,7,8,0
279,7,7,1
280,4,4,1
281,5,6,1
282,5,5,1
283,5,6,1
284,5,6,1
285,6,6,1
286,6,6,0
287,4,4,1
288,6,6,1
289,8,8,1
290,6,6,1
291,6,6,1
292,6,5,0
293,6,6,1
294,5,2,0
295,7,7,1
296,6,6,1
297,6,6,1
298,7,8,1
299,8,8,1
300,6,6,1
301,4,5,1
302,7,8,1
303,2,4,0
304,0,0,0
305,4,4,0
306,6,4,1
307,1,0,0
308,5,5,1
309,5,2,0
310,6,6,1
311,3,3,0
312,5,5,1
313,5,5,1
314,2,0,0
315,5,5,1
316,7,8,1
317,7,8,1
318,6,6,1
319,6,6,0
320,0,0,0
321,7,7,1
322,7,8,1
323,5,8,1
324,3,3,0
325,6,3,1
326,6,6,1
327,6,5,1
328,5,5,0
329,5,5,0
330,5,6,0
331,0,0,0
332,6,6,1
333,6,6,1
334,6,6,1
335,6,6,1
336,7,7,1
337,8,8,1
338,5,6,1
339,4,4,1
340,4,3,0
341,0,0,0
342,6,6,1
343,6,6,1
344,4,2,0
345,6,6,1
346,13,9,0
347,5,5,1
348,6,6,1
349,5,4,0
350,4,4,0
351,6,6,1
352,0,0,0
353,6,6,1
354,5,0,0
355,6,6,1
356,6,7,1
357,0,0,0
358,0,0,0
359,0,0,0
360,6,6,1
361,3,2,0
362,3,4,0
363,8,7,1
364,5,5,0
365,6,6,1
