Number of Features,Accuracy,F1 Score
1,0.8399638336347197,0.8533554266777132
2,0.8435804701627486,0.8530161427357689
3,0.8499095840867993,0.8588435374149661
4,0.8481012658227848,0.854419410745234
5,0.8499095840867993,0.856649395509499
6,0.8526220614828209,0.8596037898363479
7,0.8544303797468354,0.8613264427217916
8,0.85623869801085,0.8623376623376624
9,0.8517179023508138,0.858376511226252
10,0.8508137432188065,0.8581255374032674
11,0.8544303797468354,0.8608470181503889
12,0.864376130198915,0.8711340206185566
13,0.8598553345388789,0.8667239896818573
14,0.8625678119349005,0.8696397941680961
15,0.8535262206148282,0.8610634648370498
16,0.8652802893309223,0.8727583262169086
17,0.8508137432188065,0.8588537211291702
18,0.8535262206148282,0.8617747440273037
19,0.8580470162748643,0.8647717484926787
20,0.8616636528028933,0.8686695278969957
21,0.8598553345388789,0.8674080410607357
22,0.85623869801085,0.8630490956072351
23,0.8616636528028933,0.8688946015424164
24,0.8544303797468354,0.8627450980392157
25,0.8598553345388789,0.8667239896818573
26,0.8571428571428571,0.8663282571912012
27,0.8589511754068716,0.8657487091222031
28,0.8589511754068716,0.8666666666666666
29,0.864376130198915,0.8722316865417377
30,0.8598553345388789,0.8674080410607357
31,0.8580470162748643,0.8647717484926787
32,0.8544303797468354,0.8627450980392157
33,0.8571428571428571,0.8642611683848798
34,0.8580470162748643,0.8650042992261392
35,0.85623869801085,0.8630490956072351
