Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
8,1,5,3,6,2,1,0,1,0,0,19,6,8,6,14,0,0,7,12,6,13,0,1.005202122756862,0.8343059930294381,0
1,1,14,27,10,6,0,0,1,1,1,24,6,0,0,0,0,0,6,0,0,0,0,0.005198353125771837,0.012141007344835565,1
15,1,4,1,6,9,0,0,1,0,0,23,6,15,6,14,0,1,6,10,5,12,0,0.8470757248985338,1.0134448042420048,1
16,1,17,14,6,7,0,0,1,0,0,22,10,8,9,13,0,0,7,7,8,16,0,0.816582233384879,1.0012738051824794,1
1,1,12,28,10,8,1,0,1,0,1,20,10,8,9,14,0,0,8,9,5,13,2,1.0099007360956382,0.999206214163275,1
14,1,9,27,10,9,1,0,0,1,0,33,5,11,2,10,0,0,5,13,3,10,-3,0.6059162057540408,0.3207946572754558,0
12,1,4,14,10,4,0,0,1,1,0,22,6,13,6,11,0,0,6,6,6,14,0,0.9992190101437027,1.0079609242567036,0
4,1,12,27,5,1,0,0,1,0,0,39,7,8,7,14,0,0,7,9,8,13,0,0.8568882634226109,0.9995058879098982,1
1,1,14,1,6,8,1,0,1,0,0,18,5,8,3,11,0,0,5,11,5,13,1,0.994883150494339,0.8415545559826091,0
1,1,5,1,10,6,0,0,1,1,0,19,5,6,6,15,0,0,5,10,5,15,0,0.9903651840003599,0.9922059284902556,1
1,1,5,28,5,3,0,1,1,0,0,20,6,11,4,10,0,0,6,12,3,11,0,0.6915563195323493,0.6221992308025979,0
8,3,15,3,6,9,1,0,1,1,1,20,6,6,0,12,0,0,6,6,0,0,2,0.0065115350910904864,0.01013998446687471,0
1,1,12,14,5,6,0,0,1,0,1,19,8,8,7,12,0,0,8,8,0,13,-1,0.6396469142966518,0.8271496849056335,1
8,9,10,3,5,9,1,0,1,1,0,25,11,8,2,10,0,0,5,16,3,11,3,0.5943055893928776,0.9996509667376844,0
12,1,17,27,10,10,0,0,1,1,0,37,5,5,1,0,0,0,5,9,0,0,0,0.6843341955907191,-0.0016484120634924155,1
8,2,9,28,6,8,1,0,1,0,0,19,5,6,4,12,0,0,5,9,5,13,1,0.9937652914341124,0.8504706967388036,0
8,1,6,27,10,10,1,0,1,0,1,32,6,10,5,11,0,0,6,10,5,11,0,0.8247451255502292,0.8531190945351639,0
1,1,2,14,7,3,1,0,1,0,1,20,6,6,6,13,0,0,6,6,6,13,2,0.9941197759432303,0.9991143012739628,1
